AIRPORT,STATION NAME,LAT,LON
GTR,GOLDEN TRIANGLE RGNL APT,33.45,-88.583
GCC,GILLETTE-CAMPBELL CO. ARPT,44.34,-105.542
PRC,PRESCOTT MUNICIPAL AP,34.652,-112.421
JST,J MURTHA JTWN-CMBRA CO APT,40.315,-78.831
BJI,BEMIDJI-BELTRAMI CO ARPT,47.5,-94.933
SUX,SIOUX GATEWAY/COL BUD DAY FIELD AP,42.392,-96.379
SWO,STILLWATER REGIONAL ARPT,36.162,-97.089
SHR,SHERIDAN COUNTY AIRPORT,44.76,-106.974
GCK,GARDEN CITY REGIONAL ARPT,37.922,-100.724
EAT,PANGBORN MEMORIAL AIRPORT,47.397,-120.201
CMX,HOUGHTON COUNTY MEMO ARPT,47.166,-88.481
BPT,SOUTHEAST TEXAS REGIONAL AIRPORT,29.952,-94.026
GGG,LONGVIEW,32.385,-94.712
IMT,FORD AIRPORT,45.813,-88.113
CIU,CHIPPEWA COUNTY INTL ARPT,46.25,-84.467
ABR,ABERDEEN REGIONAL AIRPORT,45.444,-98.414
YKM,YAKIMA AIR TERMINAL/MCALSR FIELD AP,46.564,-120.535
SPS,SHEPPARD AFB/WICHITA FALLS MUNI AP,33.979,-98.493
ALW,WALLA WALLA REGIONAL ARPT,46.095,-118.286
SLN,SALINA MUNICIPAL AIRPORT,38.78,-97.644
TWF,JSIN FLD-MAGIC VLY RGN APT,42.478,-114.477
PIH,POCATELLO REGIONAL AIRPORT,42.92,-112.572
BTM,BERT MOONEY,45.965,-112.501
CYS,CHEYENNE AIRPORT,41.158,-104.808
DVL,DEVILS LAKE MUNI AIRPORT,48.117,-98.9
ALO,WATERLOO MUNICIPAL AIRPORT,42.554,-92.401
ART,WATERTOWN INTL AIRPORT,43.989,-76.026
DIK,DICKINSON THEODORE ROOSEVELT RGNL ARPT,46.8,-102.797
HYS,HAYS REGIONAL AIRPORT,38.85,-99.267
INL,FALLS INTERNATIONAL AIRPORT,48.559,-93.396
ESC,DELTA COUNTY AIRPORT,45.733,-87.083
BRD,BRAINERD LAKES RGNL ARPT,46.402,-94.127
VCT,VICTORIA REGIONAL AIRPORT,28.862,-96.93
HIB,CHISHOLM-HIBBING AIRPORT,47.38,-92.832
APN,ALPENA COUNTY REGIONAL AIRPORT,45.072,-83.565
CDC,CEDAR CITY REGIONAL ARPT,37.707,-113.097
DDC,DODGE CITY REGIONAL AIRPORT,37.771,-99.969
MCW,MASON CITY MUNICIPAL ARPT,43.154,-93.326
MEI,KEY FIELD AIRPORT,32.335,-88.751
BFF,WESTERN NE REGIONAL/HEILIG FIELD AP,41.875,-103.601
JLN,JOPLIN REGIONAL AIRPORT,37.152,-94.495
PIB,HATTIESBURG-LAUREL RGNL AP,31.467,-89.333
LAR,LARAMIE REGIONAL AIRPORT,41.317,-105.673
FOD,FORT DODGE REGIONAL APRT,42.55,-94.183
LBF,NORTH PLATTE RGNL AP LEE BIRD FD AP,41.122,-100.669
RKS,ROCK SPRINGS ARPT,41.594,-109.053
RIW,RIVERTON REGIONAL,43.064,-108.459
JMS,JAMESTOWN REGIONAL AIRPORT,46.926,-98.67
LBE,ARNOLD PALMER REGIONAL APT,40.283,-79.4
LBL,LIBERAL MUNICIPAL AIRPORT,37.05,-100.967
PQI,NERN MAINE RGNL ARPT AT PRESQUE IS AIRPORT,46.683,-68.05
SCK,STOCKTON METROPOLITAN AIRPORT,37.89,-121.226
PBG,PLATTSBURGH INTL,44.651,-73.468
SWF,STEWART INTERNATIONAL AIRPORT,41.5,-74.1
IAG,NIAGARA FALLS INTL AIRPORT,43.108,-78.938
TOL,TOLEDO EXPRESS AIRPORT,41.587,-83.805
PSM,PEASE INTERNATIONAL TRADEPORT AIRPORT,43.083,-70.817
BGM,GREATER BINGHAMTON/E A LINK FIELD AP,42.207,-75.98
EKO,ELKO REGIONAL AIRPORT,40.824,-115.786
OTH,NORTH BEND MUNICIPAL ARPT,43.413,-124.244
WYS,YELLOWSTONE AIRPORT,44.683,-111.117
HGR,HGRTWN RGNL-R.HNSON FLD AP,39.706,-77.73
BIH,BISHOP AIRPORT,37.371,-118.359
HYA,BRNSBL MUNI-BMAN/POL FD AP,41.672,-70.27
CKB,HARRISON/MARION RGNL ARPT,39.302,-80.224
STC,ST CLOUD REGIONAL AIRPORT,45.544,-94.052
EAR,KEARNEY MUNICIPAL AIRPORT,40.733,-99.0
SMX,SANTA MARIA PUB/CAPT G A HANCOCK AP,34.894,-120.452
VEL,VERNAL AIRPORT,40.443,-109.513
MGW,MGTN RGNL-W L B HART FD AP,39.65,-79.921
EAU,CHIPPEWA VALLEY RGNL ARPT,44.867,-91.488
CNY,CANYONLANDS FIELD AIRPORT,38.75,-109.763
